sentence,number,verbalised_number,verb
imali ithenga imali kanye,1,kanye,ithenga
imali ithenga ijikijolo kanye,1,kanye,ithenga
imali ithenga inyoni kanye,1,kanye,ithenga
imali ithenga ibhishi kanye,1,kanye,ithenga
imali ithenga izwe kanye,1,kanye,ithenga
imali ithenga isakhiwo kanye,1,kanye,ithenga
imali ithenga umnini kanye,1,kanye,ithenga
imali ithenga unyawo kanye,1,kanye,ithenga
imali ithenga izambane kanye,1,kanye,ithenga
imali ithenga iNkosi kanye,1,kanye,ithenga
imali ithenga ibhola kanye,1,kanye,ithenga
imali ithenga umzila kanye,1,kanye,ithenga
imali ithenga isicathulo kanye,1,kanye,ithenga
imali ithenga ihholitshi kanye,1,kanye,ithenga
imali ithenga isihlahla kanye,1,kanye,ithenga
imali ithenga ihhotela kanye,1,kanye,ithenga
imali ithenga ihebhivo kanye,1,kanye,ithenga
imali ithenga umuthi kanye,1,kanye,ithenga
imali ithenga igilebhisi kanye,1,kanye,ithenga
imali ithenga isikukhukhula kanye,1,kanye,ithenga
imali ithenga inyuvesi kanye,1,kanye,ithenga
imali ithenga inja kanye,1,kanye,ithenga
imali ithenga iphoyisa kanye,1,kanye,ithenga
imali ithenga umkhandlu kanye,1,kanye,ithenga
imali ithenga iwayini kanye,1,kanye,ithenga
imali ithenga uphawu kanye,1,kanye,ithenga
imali ithenga indawo yokubhukuda kanye,1,kanye,ithenga
imali ithenga ikhompyutha kanye,1,kanye,ithenga
imali ithenga isikhulumi kanye,1,kanye,ithenga
imali ithenga inyama kanye,1,kanye,ithenga
imali ithenga udokotela kanye,1,kanye,ithenga
imali ithenga indlovu kanye,1,kanye,ithenga
imali ithenga inkampani kanye,1,kanye,ithenga
imali ithenga inkukhu kanye,1,kanye,ithenga
imali ithenga umlamuleli kanye,1,kanye,ithenga
imali ithenga isidlo kanye,1,kanye,ithenga
imali ithenga umfundi we-undergraduate kanye,1,kanye,ithenga
imali ithenga ipayipi kanye,1,kanye,ithenga
imali ithenga umfundisi kanye,1,kanye,ithenga
imali ithenga ibhodwe kanye,1,kanye,ithenga
imali ithenga iphalamende kanye,1,kanye,ithenga
imali ithenga iholidi kanye,1,kanye,ithenga
imali ithenga indaba kanye,1,kanye,ithenga
imali ithenga ufishi kanye,1,kanye,ithenga
imali ithenga ithoyizi kanye,1,kanye,ithenga
imali ithenga umfula kanye,1,kanye,ithenga
imali ithenga ukhilimu oyiqhwa kanye,1,kanye,ithenga
imali ithenga ibhokisi kanye,1,kanye,ithenga
imali ithenga isitambu kanye,1,kanye,ithenga
imali ithenga umsebenzi kanye,1,kanye,ithenga
imali ithenga umgodi kanye,1,kanye,ithenga
imali ithenga ihlo kanye,1,kanye,ithenga
imali ithenga insimu kanye,1,kanye,ithenga
imali ithenga isifunda kanye,1,kanye,ithenga
imali ithenga udonga kanye,1,kanye,ithenga
imali ithenga itiye kanye,1,kanye,ithenga
imali ithenga ibhodlela kanye,1,kanye,ithenga
imali ithenga ukhiye kanye,1,kanye,ithenga
imali ithenga inkantini kanye,1,kanye,ithenga
imali ithenga isisu kanye,1,kanye,ithenga
imali ithenga uphaya kanye,1,kanye,ithenga
imali ithenga intaba kanye,1,kanye,ithenga
imali ithenga umengammeli kanye,1,kanye,ithenga
imali ithenga umhlaba kanye,1,kanye,ithenga
imali ithenga ibhanoyi kanye,1,kanye,ithenga
imali ithenga incwadi kanye,1,kanye,ithenga
imali ithenga isitshalo kanye,1,kanye,ithenga
imali ithenga unesi kanye,1,kanye,ithenga
imali ithenga isithwebuli kanye,1,kanye,ithenga
imali ithenga isilwane esifuyiweyo kanye,1,kanye,ithenga
imali ithenga igumbi kanye,1,kanye,ithenga
imali ithenga iwindi kanye,1,kanye,ithenga
imali ithenga ulwandle kanye,1,kanye,ithenga
