sentence,first_noun,verb,second_noun,number
izintaba zithenga imali enye,izintaba,zithenga,imali,1
izintaba zithenga ijikijolo elinye,izintaba,zithenga,ijikijolo,1
izintaba zithenga inyoni enye,izintaba,zithenga,inyoni,1
izintaba zithenga ibhishi elinye,izintaba,zithenga,ibhishi,1
izintaba zithenga izwe elinye,izintaba,zithenga,izwe,1
izintaba zithenga isakhiwo esinye,izintaba,zithenga,isakhiwo,1
izintaba zithenga umnini onye,izintaba,zithenga,umnini,1
izintaba zithenga unyawo olunye,izintaba,zithenga,unyawo,1
izintaba zithenga izambane elinye,izintaba,zithenga,izambane,1
izintaba zithenga iNkosi enye,izintaba,zithenga,iNkosi,1
izintaba zithenga ibhola elinye,izintaba,zithenga,ibhola,1
izintaba zithenga umzila onye,izintaba,zithenga,umzila,1
izintaba zithenga isicathulo esinye,izintaba,zithenga,isicathulo,1
izintaba zithenga ihholitshi elinye,izintaba,zithenga,ihholitshi,1
izintaba zithenga isihlahla esinye,izintaba,zithenga,isihlahla,1
izintaba zithenga ihhotela elinye,izintaba,zithenga,ihhotela,1
izintaba zithenga ihebhivo elinye,izintaba,zithenga,ihebhivo,1
izintaba zithenga umuthi onye,izintaba,zithenga,umuthi,1
izintaba zithenga igilebhisi elinye,izintaba,zithenga,igilebhisi,1
izintaba zithenga isikukhukhula esinye,izintaba,zithenga,isikukhukhula,1
izintaba zithenga inyuvesi enye,izintaba,zithenga,inyuvesi,1
izintaba zithenga inja enye,izintaba,zithenga,inja,1
izintaba zithenga iphoyisa elinye,izintaba,zithenga,iphoyisa,1
izintaba zithenga umkhandlu onye,izintaba,zithenga,umkhandlu,1
izintaba zithenga iwayini elinye,izintaba,zithenga,iwayini,1
izintaba zithenga uphawu olunye,izintaba,zithenga,uphawu,1
izintaba zithenga indawo yokubhukuda enye,izintaba,zithenga,indawo yokubhukuda,1
izintaba zithenga ikhompyutha elinye,izintaba,zithenga,ikhompyutha,1
izintaba zithenga isikhulumi esinye,izintaba,zithenga,isikhulumi,1
izintaba zithenga inyama enye,izintaba,zithenga,inyama,1
izintaba zithenga udokotela onye,izintaba,zithenga,udokotela,1
izintaba zithenga indlovu enye,izintaba,zithenga,indlovu,1
izintaba zithenga inkampani enye,izintaba,zithenga,inkampani,1
izintaba zithenga inkukhu enye,izintaba,zithenga,inkukhu,1
izintaba zithenga umlamuleli onye,izintaba,zithenga,umlamuleli,1
izintaba zithenga isidlo esinye,izintaba,zithenga,isidlo,1
izintaba zithenga umfundi we-undergraduate onye,izintaba,zithenga,umfundi we-undergraduate,1
izintaba zithenga ipayipi elinye,izintaba,zithenga,ipayipi,1
izintaba zithenga umfundisi onye,izintaba,zithenga,umfundisi,1
izintaba zithenga ibhodwe elinye,izintaba,zithenga,ibhodwe,1
izintaba zithenga iphalamende elinye,izintaba,zithenga,iphalamende,1
izintaba zithenga iholidi elinye,izintaba,zithenga,iholidi,1
izintaba zithenga indaba enye,izintaba,zithenga,indaba,1
izintaba zithenga ufishi onye,izintaba,zithenga,ufishi,1
izintaba zithenga ithoyizi elinye,izintaba,zithenga,ithoyizi,1
izintaba zithenga umfula onye,izintaba,zithenga,umfula,1
izintaba zithenga ukhilimu oyiqhwa onye,izintaba,zithenga,ukhilimu oyiqhwa,1
izintaba zithenga ibhokisi elinye,izintaba,zithenga,ibhokisi,1
izintaba zithenga isitambu esinye,izintaba,zithenga,isitambu,1
izintaba zithenga umsebenzi onye,izintaba,zithenga,umsebenzi,1
izintaba zithenga umgodi onye,izintaba,zithenga,umgodi,1
izintaba zithenga ihlo elinye,izintaba,zithenga,ihlo,1
izintaba zithenga insimu enye,izintaba,zithenga,insimu,1
izintaba zithenga isifunda esinye,izintaba,zithenga,isifunda,1
izintaba zithenga udonga onye,izintaba,zithenga,udonga,1
izintaba zithenga itiye elinye,izintaba,zithenga,itiye,1
izintaba zithenga ibhodlela elinye,izintaba,zithenga,ibhodlela,1
izintaba zithenga ukhiye onye,izintaba,zithenga,ukhiye,1
izintaba zithenga inkantini enye,izintaba,zithenga,inkantini,1
izintaba zithenga isisu esinye,izintaba,zithenga,isisu,1
izintaba zithenga uphaya onye,izintaba,zithenga,uphaya,1
izintaba zithenga intaba enye,izintaba,zithenga,intaba,1
izintaba zithenga umengammeli onye,izintaba,zithenga,umengammeli,1
izintaba zithenga umhlaba onye,izintaba,zithenga,umhlaba,1
izintaba zithenga ibhanoyi elinye,izintaba,zithenga,ibhanoyi,1
izintaba zithenga incwadi enye,izintaba,zithenga,incwadi,1
izintaba zithenga isitshalo esinye,izintaba,zithenga,isitshalo,1
izintaba zithenga unesi onye,izintaba,zithenga,unesi,1
izintaba zithenga isithwebuli esinye,izintaba,zithenga,isithwebuli,1
izintaba zithenga isilwane esifuyiweyo esinye,izintaba,zithenga,isilwane esifuyiweyo,1
izintaba zithenga igumbi elinye,izintaba,zithenga,igumbi,1
izintaba zithenga iwindi elinye,izintaba,zithenga,iwindi,1
izintaba zithenga ulwandle olunye,izintaba,zithenga,ulwandle,1
izintaba zithenga ummeli onye,izintaba,zithenga,ummeli,1
izintaba zithenga umphakathi onye,izintaba,zithenga,umphakathi,1
izintaba zithenga ikomidi elinye,izintaba,zithenga,ikomidi,1
izintaba zithenga indlwana enye,izintaba,zithenga,indlwana,1
izintaba zithenga iphilisi elinye,izintaba,zithenga,iphilisi,1
izintaba zithenga uhlaza olunye,izintaba,zithenga,uhlaza,1
izintaba zithenga imoto enye,izintaba,zithenga,imoto,1
amakhompyutha athenga imali enye,amakhompyutha,athenga,imali,1
amakhompyutha athenga ijikijolo elinye,amakhompyutha,athenga,ijikijolo,1
amakhompyutha athenga inyoni enye,amakhompyutha,athenga,inyoni,1
amakhompyutha athenga ibhishi elinye,amakhompyutha,athenga,ibhishi,1
amakhompyutha athenga izwe elinye,amakhompyutha,athenga,izwe,1
amakhompyutha athenga isakhiwo esinye,amakhompyutha,athenga,isakhiwo,1
amakhompyutha athenga umnini onye,amakhompyutha,athenga,umnini,1
amakhompyutha athenga unyawo olunye,amakhompyutha,athenga,unyawo,1
amakhompyutha athenga izambane elinye,amakhompyutha,athenga,izambane,1
amakhompyutha athenga iNkosi enye,amakhompyutha,athenga,iNkosi,1
amakhompyutha athenga ibhola elinye,amakhompyutha,athenga,ibhola,1
