sentence,number
izintaba zozibili,2
amakhompyutha omabili,2
amakomidi omabili,2
amathoyizi omabili,2
iziNkosi zozibili,2
amajikijolo omabili,2
izinsimu zozibili,2
amagilebhisi omabili,2
iminini yomibili,2
izithwebuli zozibili,2
abafundi be-undergraduate bobabili,2
izidlo zozibili,2
odokotela bili,2
izakhiwo zozibili,2
izindawo zokubhukuda zozibili,2
imiphakathi yomibili,2
izilwane ezifuyiweyo zozibili,2
imikhandlu yomibili,2
amahlo omabili,2
izinkukhu zozibili,2
izindlovu zozibili,2
omlamuleli bili,2
izikhulumi zozibili,2
omsebenzi bili,2
amabhodwe omabili,2
imifula yomibili,2
iwayini lolibili,2
amazambane omabili,2
iziphawu zozibili,2
izinyama zozibili,2
izikukhukhula zozibili,2
izisu zozibili,2
ofishi bili,2
amahholitshi omabili,2
amatiye omabili,2
izihlaza zozibili,2
abafundisi bobabili,2
imizila yomibili,2
amazwe omabili,2
izindlwana zozibili,2
izitambu zozibili,2
imihlaba yomibili,2
amabhodlela omabili,2
imithi yomibili,2
okhilimu abayiqhwa bili,2
amaphoyisa omabili,2
izinyuvesi zozibili,2
odonga bili,2
amawindi omabili,2
imigodi yomibili,2
izitshalo zozibili,2
amabhishi omabili,2
okhiye bili,2
izinkantini zozibili,2
amapayipi omabili,2
izinja zozibili,2
amaphilisi omabili,2
amahhotela omabili,2
izihlahla zozibili,2
izilwandle zozibili,2
izinyoni zozibili,2
ophaya bili,2
amaphalamende omabili,2
amahebhivo omabili,2
izimoto zozibili,2
amaholidi omabili,2
izindaba zozibili,2
izifunda zozibili,2
amagumbi omabili,2
izinyawo zozibili,2
izimali zozibili,2
izincwadi zozibili,2
onesi bili,2
abameli bobabili,2
izicathulo zozibili,2
izinkampani zozibili,2
amabhanoyi omabili,2
amabhokisi omabili,2
amanzi omabili,2
amabhola omabili,2
abengammeli bili,2
izintaba zozithathu,3
amakhompyutha omathathu,3
amakomidi omathathu,3
amathoyizi omathathu,3
iziNkosi zozithathu,3
amajikijolo omathathu,3
izinsimu zozithathu,3
amagilebhisi omathathu,3
iminini yomithathu,3
izithwebuli zozithathu,3
abafundi be-undergraduate bobathathu,3
izidlo zozithathu,3
odokotela thathu,3
izakhiwo zozithathu,3
izindawo zokubhukuda zozithathu,3
imiphakathi yomithathu,3
izilwane ezifuyiweyo zozithathu,3
imikhandlu yomithathu,3
amahlo omathathu,3
izinkukhu zozithathu,3
izindlovu zozithathu,3
omlamuleli thathu,3
izikhulumi zozithathu,3
omsebenzi thathu,3
amabhodwe omathathu,3
imifula yomithathu,3
iwayini lolithathu,3
amazambane omathathu,3
iziphawu zozithathu,3
izinyama zozithathu,3
izikukhukhula zozithathu,3
izisu zozithathu,3
ofishi thathu,3
amahholitshi omathathu,3
amatiye omathathu,3
izihlaza zozithathu,3
abafundisi bobathathu,3
imizila yomithathu,3
amazwe omathathu,3
izindlwana zozithathu,3
izitambu zozithathu,3
imihlaba yomithathu,3
amabhodlela omathathu,3
imithi yomithathu,3
okhilimu abayiqhwa thathu,3
amaphoyisa omathathu,3
izinyuvesi zozithathu,3
odonga thathu,3
