;;;English;Singular;NC;Plural;NC;verbList;possibleNouns
;;;Tree;isihlahla;7;izihlahla;8;khula,mela;umuthi,3,imithi,4
;;;Elephant;indlovu;9;izindlovu;10;nyathela;isifunda,7,izifunda,8-ibhodlela,5,amabhodlela,6
;;;wine;iwayini;5;iwayini;5;chitha,thambisa;ibhodlela,5,amabhodlela,6
;;;region;isifunda;7;izifunda;8;vikela;isilwane esifuyiweyo,7,izilwane ezifuyiweyo,8-umnini,3,iminini,4
;;;lecturer;umfundisi;1;abafundisi;2;dla,bona,thola;isihlahla,7,izihlahla,8-isilwane esifuyiweyo,7,izilwane ezifuyiweyo,8-unesi,1a,onesi,2a
;;;doctor;udokotela;1a;odokotela;2a;phatha,hlola,elapha;indlovu,9,izindlovu,10-umfundisi,1,abafundisi,2-isilwane esifuyiweyo,7,izilwane ezifuyiweyo,8-umengammeli,1a,abengammeli,2a-umsebenzi,1a,omsebenzi,2a
;;;dog;inja;9;izinja;10;khonkotha,gijima,luma;inja,9,izinja,10-umnini,3,iminini,4-umsebenzi,1a,omsebenzi,2a-iNkosi,9,iziNkosi,10-umengammeli,1a,abengammeli,2a
;;;owner;umnini;3;iminini;4;naka,londoloza,phethe,bona;isifunda,7,izifunda,8-ibhodwe,5,amabhodwe,6-insimu,9,izinsimu,10
;;;pet;isilwane esifuyiweyo;7;izilwane ezifuyiweyo;8;luma,khotha,gijima;umnini,3,iminini,4-unyawo,11,izinyawo,10-ihlo,5,amahlo,6-umsebenzi,1a,omsebenzi,2a
;;;wall;udonga;1a;odonga;2a;seka,hlukanisa,vimbela; isifunda,7,izifunda,8-imoto,9,izimoto,10-insimu,9,izinsimu,10-umhlaba,3,imihlaba,4
;;;cottage;indlwana;9;izindlwana;10;vikela,hlalisa,phakamisa;unesi,1a,onesi,2a-iphoyisa,5,amaphoyisa,6
;;;window;iwindi;5;amawindi;6;vulela,vimbela,bonisa;insimu,9,izinsimu,10-umhlaba,3,imihlaba,4-inkukhu,9,izinkukhu,10
